key,source_state,transmutation_point,coherent_state,language,prompt
13,Impatient,Present,Patient,Spanish,"Todo está tardando mucho más de lo que debería y me estoy quedando atrás. Siento que el tiempo se agota y no puedo reducir la velocidad suficiente para pensar."
1,Fearful,Aware,Courageous,Arabic,"أنا خائف جداً من تقديم عملي غداً. لا أتوقف عن التفكير بأن الجميع سيرى أنني لا أعرف ما أفعله."
2,Angry,Mindful,Compassionate,Arabic,"زميلي أخذ الفضل في عملي مرة أخرى أمام الفريق كله في الاجتماع. أنا غاضب جداً ولا أستطيع التفكير بوضوح."
3,Sad,Connected,Joyful,Arabic,"أشعر بفراغ تام. لا شيء يبدو ذا معنى الآن ولا أفهم لماذا. أنا فقط أمشي في الحياة بلا روح."
4,Doubtful,Curious,Confident,Arabic,"لا أعرف إن كنت قادراً فعلاً على فعل هذا. الجميع يبدو واثقاً جداً وأنا لا أتوقف عن التشكيك في كل شيء."
5,Guilty,Atoned,Liberated,Arabic,"قلت شيئاً آذى شخصاً أهتم به بشدة ولا أستطيع التوقف عن إعادة تشغيل اللحظة في ذهني. لا أعرف كيف أتجاوز هذا."
6,Ashamed,Authentic,Worthy,Arabic,"ارتكبت خطأ جسيماً أثّر على فريقي كله. لا أتوقف عن التفكير بأنني فاشل في جوهري — ربما حتى كإنسان."
7,Envious,Inspired,Empathetic,Arabic,"شخص أعرفه حصل للتو على كل ما كنت أسعى إليه. أحاول إقناع نفسي بأنني سعيد له لكنني لست كذلك."
8,Lonely,Self-sufficient,Communal,Arabic,"أشعر بوحدة تامة حتى عندما أكون محاطاً بالناس. كأن لا شيء أفعله يتواصل فعلاً مع أي أحد."
9,Disappointed,Perception,Resilient,Arabic,"أعطيت كل شيء لأمر ما ولم ينجح. لم أعد حتى غاضباً. أشعر فقط بالخدر وكأنني لا أستطيع الوثوق بحكمي الخاص."
10,Frustrated,Still,In Flow,Arabic,"لا شيء يعمل ولا أعرف لماذا. جربت كل الأساليب التي يمكنني التفكير فيها وما زلت أصطدم بنفس الجدار."
11,Despairing,Light,Hopeful,Arabic,"أحاول منذ سنوات ولا أعرف حقاً إن كان أي شيء يتغير. لست متأكداً من أن هناك فائدة من الاستمرار."
12,Insecure,Self-affirmation,Whole,Arabic,"لا أستطيع التوقف عن مقارنة نفسي بالآخرين والشعور بأنني دائماً أقل منهم. لا أفهم كيف يبدو الناس واثقين من أنفسهم."
13,Impatient,Present,Patient,Arabic,"كل شيء يأخذ وقتاً أطول بكثير مما ينبغي وأنا أتأخر. أشعر أن الوقت ينفد ولا أستطيع التباطؤ بما يكفي للتفكير."
1,Fearful,Aware,Courageous,Hindi,"कल अपना काम प्रस्तुत करने से मैं बहुत डरा हुआ हूँ। मुझे लगता रहता है कि सब देख लेंगे कि मुझे कुछ पता ही नहीं है।"
2,Angry,Mindful,Compassionate,Hindi,"मेरे सहकर्मी ने फिर से पूरी टीम के सामने बैठक में मेरे काम का श्रेय ले लिया। मैं बहुत गुस्से में हूँ और सीधे सोच भी नहीं पा रहा।"
3,Sad,Connected,Joyful,Hindi,"मैं बिल्कुल खाली महसूस कर रही हूँ। अभी कुछ भी सार्थक नहीं लग रहा और समझ नहीं आ रहा क्यों। बस यंत्रवत् चल रही हूँ।"
4,Doubtful,Curious,Confident,Hindi,"मुझे नहीं पता कि मैं सच में यह कर पाऊँगा या नहीं। बाकी सब इतने आश्वस्त लगते हैं और मैं हर चीज़ पर शक करता रहता हूँ।"
5,Guilty,Atoned,Liberated,Hindi,"मैंने कुछ ऐसा कहा जिससे मेरे किसी प्रिय को बहुत ठेस पहुँची और मैं उस पल को बार-बार सोचना बंद नहीं कर पा रहा। नहीं पता इससे कैसे आगे बढ़ूँ।"
6,Ashamed,Authentic,Worthy,Hindi,"मैंने एक बड़ी गलती की जिससे मेरी पूरी टीम प्रभावित हुई। मैं सोचता रहता हूँ कि मैं इसमें बुनियादी तौर पर ही कमज़ोर हूँ — शायद एक इंसान के रूप में भी।"
7,Envious,Inspired,Empathetic,Hindi,"मेरा एक जानने वाला अभी-अभी वो सब पा गया जिसके लिए मैं काम कर रहा था। मैं खुद से कहता रहता हूँ कि मुझे उनके लिए खुशी है पर ऐसा नहीं है।"
8,Lonely,Self-sufficient,Communal,Hindi,"मैं बिल्कुल अकेला महसूस करता हूँ चाहे लोगों से घिरा हो। जैसे मेरा कुछ भी किसी से सच में जुड़ता ही नहीं।"
9,Disappointed,Perception,Resilient,Hindi,"मैंने किसी चीज़ में सब कुछ लगा दिया और वो काम नहीं आया। अब गुस्सा भी नहीं है। बस सुन्न सा लग रहा है और लगता है खुद पर भरोसा नहीं कर सकती।"
10,Frustrated,Still,In Flow,Hindi,"कुछ भी काम नहीं कर रहा और समझ नहीं आ रहा क्यों। जो भी तरीका सोच सकता था सब आज़माया और बस वही दीवार बार-बार आ जाती है।"
11,Despairing,Light,Hopeful,Hindi,"सालों से कोशिश कर रहा हूँ और सच में नहीं जानता कि कुछ बदलता भी है। नहीं पता आगे जारी रखने में कोई मतलब है भी या नहीं।"
12,Insecure,Self-affirmation,Whole,Hindi,"मैं दूसरों से खुद को तुलना करना बंद नहीं कर पाता और हमेशा कम लगता है। समझ नहीं आता लोग खुद पर इतने भरोसेमंद कैसे लगते हैं।"
13,Impatient,Present,Patient,Hindi,"सब कुछ उतना समय ले रहा है जितना नहीं लेना चाहिए और मैं पीछे होता जा रहा हूँ। लगता है वक्त खत्म हो रहा है और इतना धीमा भी नहीं हो पा रहा कि सोच सकूँ।"
1,Fearful,Aware,Courageous,Swahili,"Ninaogopa sana kuwasilisha kazi yangu kesho. Ninaendelea kufikiri kwamba kila mtu ataona kwamba sijui ninachofanya."
2,Angry,Mindful,Compassionate,Swahili,"Mwenzangu alichukua sifa ya kazi yangu tena katika mkutano mbele ya timu nzima. Niko na hasira sana na siwezi kufikiri vizuri."
3,Sad,Connected,Joyful,Swahili,"Nahisi tupu kabisa. Hakuna kinachoonekana kuwa na maana sasa hivi na sielewi kwa nini. Ninafanya mambo tu bila roho."
4,Doubtful,Curious,Confident,Swahili,"Sijui kama ninaweza kweli kweli kufanya hili. Kila mtu mwingine anaonekana kuwa na uhakika sana na mimi ninaendelea kushuku kila kitu."
5,Guilty,Atoned,Liberated,Swahili,"Nilisema kitu ambacho kiliumiza sana mtu ninayemjali na siwezi kuacha kurejea tena na tena. Sijui jinsi ya kuendelea mbele."
6,Ashamed,Authentic,Worthy,Swahili,"Nilifanya kosa kubwa ambalo liliathiri timu yangu yote. Ninaendelea kufikiri kwamba mimi ni mbaya kwa msingi — labda hata kama mtu."
7,Envious,Inspired,Empathetic,Swahili,"Mtu ninayemjua amepata kila kitu nilichokuwa nikifanya kazi kupata. Ninaendelea kujiambia ninafurahi kwa ajili yake lakini sivyo."
8,Lonely,Self-sufficient,Communal,Swahili,"Nahisi peke yangu kabisa hata ninapozungukwa na watu. Kama vile hakuna ninachofanya kinachonifikisha kwa mtu yeyote kweli kweli."
9,Disappointed,Perception,Resilient,Swahili,"Nilitoa kila kitu kwa jambo fulani na halikufaulu. Hata hasira haina tena. Nahisi tu goigoi na kana kwamba siwezi kuamini hukumu yangu mwenyewe."
10,Frustrated,Still,In Flow,Swahili,"Hakuna kinachofanya kazi na sijui kwa nini. Nimejaribu kila njia niwezayo kuifikiri na ninaendelea kupigana na ukuta huo huo."
11,Despairing,Light,Hopeful,Swahili,"Nimekuwa nikijaribu kwa miaka na sijui kweli kweli kama chochote kinabadilika. Siko na uhakika kama kuna faida ya kuendelea."
12,Insecure,Self-affirmation,Whole,Swahili,"Siwezi kuacha kujilinganisha na wengine na kuhisi kwamba daima niko nyuma. Sijui jinsi watu wanavyoonekana kuwa na uhakika wao wenyewe."
13,Impatient,Present,Patient,Swahili,"Kila kitu kinachukua muda mrefu zaidi ya inavyopaswa na ninabaki nyuma. Nahisi kama wakati unakwisha na siwezi kupunguza mwendo wa kutosha kufikiri."
